CustomerID,Lookalike1,Score1,Lookalike2,Score2,Lookalike3,Score3
C0001,C0125,0.7992,C0120,0.7719,C0069,0.7688
C0002,C0029,0.8915,C0159,0.8626,C0106,0.8368
C0003,C0144,0.8069,C0026,0.7697,C0110,0.7117
C0004,C0075,0.9583,C0113,0.8731,C0065,0.8276
C0005,C0007,0.8875,C0166,0.8249,C0199,0.8200
C0006,C0185,0.9096,C0200,0.8247,C0138,0.7981
C0007,C0005,0.8875,C0166,0.8179,C0197,0.7897
C0008,C0024,0.8257,C0194,0.7557,C0098,0.7410
C0009,C0180,0.9782,C0097,0.9692,C0058,0.9630
C0010,C0062,0.8927,C0029,0.8895,C0027,0.8352
C0011,C0153,0.8573,C0099,0.7272,C0074,0.7099
C0012,C0059,0.8842,C0195,0.8577,C0163,0.8347
C0013,C0046,0.9527,C0099,0.8923,C0141,0.8372
C0014,C0033,0.9837,C0015,0.9454,C0032,0.9374
C0015,C0123,0.9459,C0014,0.9454,C0128,0.9364
C0016,C0126,0.6467,C0044,0.6449,C0191,0.6168
C0017,C0065,0.8987,C0075,0.8660,C0090,0.8083
C0018,C0114,0.8971,C0087,0.8376,C0026,0.7104
C0019,C0161,0.8044,C0119,0.7906,C0147,0.7711
C0020,C0080,0.8916,C0140,0.8680,C0110,0.8474
